City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,6.71,91,75,4.35,GS,1711528866
1,adamstown,-25.066,-130.1015,24.83,60,41,5.79,PN,1711550833
2,la'ie,21.6477,-157.9253,22.98,84,59,2.68,US,1711556908
3,buala,-8.145,159.5921,26.74,83,90,0.76,SB,1711567498
4,auki,-8.7676,160.7034,25.59,88,98,0.65,SB,1711567239
5,lospalos,-8.5186,127.0025,22.8,93,21,0.34,TL,1711575323
6,alice springs,-23.7,133.8833,16.75,100,49,0.0,AU,1711573865
7,rongelap,11.1635,166.8941,27.07,73,30,7.35,MH,1711565500
8,sitka,57.0531,-135.33,4.94,81,20,1.54,US,1711550532
9,alofi,-19.0595,-169.9187,26.94,89,54,2.06,NU,1711560315
10,ust-tsilma,65.441,52.1498,-17.44,100,95,1.34,RU,1711505085
11,albany,42.6001,-73.9662,8.86,77,98,0.45,US,1711536357
12,puerto natales,-51.7236,-72.4875,13.25,44,75,5.14,CL,1711537447
13,aral,40.5156,81.2636,15.97,17,22,3.96,CN,1711585498
14,tazovsky,67.4667,78.7,-27.64,100,16,0.42,RU,1711498545
15,nemuro,43.3236,145.575,-1.63,81,4,4.07,JP,1711570005
16,port-aux-francais,-49.35,70.2167,6.54,92,97,13.66,TF,1711503108
17,atafu village,-8.5421,-172.5159,28.69,74,100,2.82,TK,1711647204
18,carutapera,-1.195,-46.02,28.33,80,64,3.53,BR,1711530366
19,blackmans bay,-43.0167,147.3167,7.51,83,32,0.89,AU,1711570941
20,tapa,59.2606,25.9586,5.35,77,99,3.01,EE,1711511781
21,stalpeni,45.05,24.9667,7.09,91,94,2.87,RO,1711512576
22,inarajan village,13.2736,144.7484,27.08,94,38,3.49,GU,1711570783
23,edinburgh of the seven seas,-37.0676,-12.3116,19.33,94,100,10.71,SH,1711522718
24,waitangi,-43.9535,-176.5597,10.46,82,64,6.81,NZ,1711648754
25,san patricio,28.017,-97.5169,22.71,45,92,6.32,US,1711542315
26,batesville,35.7698,-91.641,12.19,50,1,0.89,US,1711540756
27,kisesa,-3.0833,34.15,20.8,77,96,2.54,TZ,1711511151
28,hotan,37.0997,79.9269,14.66,20,85,3.3,CN,1711585904
29,laguna,38.421,-121.4238,14.06,73,100,3.6,US,1711547837
30,stanley,54.868,-1.6985,8.4,74,20,6.17,GB,1711518623
31,beloyarskiy,63.7119,66.6722,-12.22,96,100,2.24,RU,1711501746
32,glace bay,46.1969,-59.957,3.83,97,100,1.79,CA,1711532897
33,pathein,16.7833,94.7333,23.11,84,0,3.06,MM,1711582730
34,morehead city,34.7229,-76.726,18.02,81,100,2.68,US,1711537202
35,east london,-33.0153,27.9116,21.52,76,100,2.68,ZA,1711513001
36,dampit,-8.2116,112.7493,22.13,97,86,0.74,ID,1711578740
37,olonkinbyen,70.9221,-8.7187,-3.65,64,32,2.21,SJ,1711519048
38,bikenibeu village,1.3673,173.1241,27.98,83,75,3.6,KI,1711564133
39,longyearbyen,78.2186,15.6401,-5.09,80,75,1.54,SJ,1711511547
40,wanning,18.8003,110.3967,23.0,92,12,1.29,CN,1711578942
41,lompoc,34.6391,-120.4579,17.61,65,0,1.54,US,1711547689
42,bel ombre,-4.6167,55.4167,29.3,75,52,4.32,SC,1711506065
43,hawaiian paradise park,19.5933,-154.9731,23.28,94,20,0.45,US,1711556232
44,nantucket,41.2835,-70.0995,11.06,89,100,4.12,US,1711535464
45,port lincoln,-34.7333,135.8667,15.7,81,1,6.38,AU,1711573548
46,ta`u,-14.2336,-169.5144,28.7,73,100,4.18,AS,1711560158
47,kabinda,-6.1333,24.4833,22.05,90,81,0.78,CD,1711513505
48,timimoun,29.2639,0.231,21.47,15,0,2.59,DZ,1711518853
49,timbuktu,16.7735,-3.0074,33.65,14,100,3.56,ML,1711519822
50,korla,41.7597,86.1469,13.32,33,5,1.82,CN,1711584294
51,hermanus,-34.4187,19.2345,17.11,78,99,6.78,ZA,1711515104
52,rutherford,35.8501,-86.4,15.05,54,0,3.6,US,1711539498
53,hamilton,39.1834,-84.5333,7.69,73,100,5.14,US,1711538975
54,bethel,41.3712,-73.414,14.19,65,100,2.24,US,1711536256
55,prince rupert,54.3161,-130.3201,7.67,67,100,1.91,CA,1711549462
56,nuuk,64.1835,-51.7216,-5.66,100,100,5.14,GL,1711530054
57,utrik,11.2278,169.8474,26.49,79,86,8.46,MH,1711564791
58,iqaluit,63.7506,-68.5145,-15.17,65,2,2.24,CA,1711534108
59,isafjordur,66.0755,-23.124,0.02,59,75,2.57,IS,1711523047
60,anadyr,64.75,177.4833,-17.22,84,75,4.0,RU,1711561319
61,bilibino,68.0546,166.4372,-28.54,100,100,1.84,RU,1711563634
62,port mathurin,-19.6833,63.4167,25.48,64,76,7.81,MU,1711504313
63,vallenar,-28.5708,-70.7581,29.09,38,0,4.23,CL,1711536632
64,chernyshevskiy,63.0128,112.4714,-31.31,100,94,1.2,RU,1711577025
65,ushuaia,-54.8,-68.3,9.81,50,75,1.54,AR,1711536520
66,cidreira,-30.1811,-50.2056,24.23,71,2,6.26,BR,1711531720
67,kodiak,57.79,-152.4072,-1.27,69,100,6.17,US,1711554584
68,gadzhiyevo,69.2551,33.3362,-12.32,95,53,3.43,RU,1711509205
69,tiksi,71.6872,128.8694,-28.17,94,98,2.59,RU,1711572122
70,kerikeri,-35.2268,173.9474,12.17,92,54,1.84,NZ,1711564412
71,mount isa,-20.7333,139.5,22.87,83,86,2.57,AU,1711572478
72,bafata,12.1667,-14.75,40.5,11,6,2.32,GW,1711522700
73,cabo san lucas,22.8909,-109.9124,27.01,53,0,2.06,MX,1711545373
74,bredasdorp,-34.5322,20.0403,18.36,73,100,5.78,ZA,1711514912
75,berriane,32.8265,3.7669,18.91,24,1,4.67,DZ,1711517940
76,college,64.8569,-147.8028,2.34,72,75,1.54,US,1711552999
77,saipan,15.1355,145.701,25.39,1,20,2.57,MP,1711570528
78,hithadhoo,-0.6,73.0833,27.92,75,86,1.66,MV,1711501781
79,wailua homesteads,22.0669,-159.378,22.24,88,75,8.75,US,1711557250
80,mahibadhoo,3.7833,72.9667,29.01,72,34,4.71,MV,1711501759
